Mã sản phẩm,Tên sản phẩm,Nhà sản xuất,loại sản phẩm,kích thước,Chất liệu,màu,bề mặt,chức năng,giá nhập,giá bán,type_code,combo
SP-001,Gạch Gradona 25×40 QAV 25010,Gradona,ceramic,25x40,Ceramic ,Trắng Viền Xanh,Bóng Kiếng ,Ốp Tường,70000,99000,gach-op,
Sp-002,Gạch Viglacera 80×80 ECO-S803,Viglacera,ceramic,80x80,Ceramic ,Vàng,Bóng Kiếng ,Lát Nền,230000,260000,gach-lat,
Sp-003,Gạch Taicera 30×60 W63033,Taicera,ceramic,30x60,Porcelain ,Trắng ,Bóng Kính ,Ốp Tường ,210000,250000,gach-op,
Sp-004,Gạch Catalan 60x60 6128,Catalan,ceramic,60x60,Ceramic ,nâu nhạt ,Bóng kính ,Gạch sân vườn ,100000,140000,gach-lat,Sp-002;Sp-003
Sp-005,Gạch ốp chân tường Prime 50x86 2949,Prime,ceramic,50x86,Porcelain ,nâu nhạt ,sần ,Gạch ốp chân tường ,220000,260000,gach-op,
Sp-006 ,Gạch Việt Nhật MTV 905 ,Việt Nhật,ceramic,10x20,Granite,Nâu,Nhẵn mịn ,Trang trí-ốp tường ,170000,205000,"gach-op, gach-trang-tri",
Sp-007,Gạch Bông CTS -1.7 30x30,CTS,ceramic,30x30,Xi măng,Xám ,Nhẵn mịn ,Lát Nền,350000,385000,gach-lat,
Sp-008,Gạch TTC 60x60 - FM 66205,TTC,ceramic,60x60,Porcelain ,nâu ,Nhẵn mịn ,Lát Nền,110000,140000,gach-lat,
Sp-009,Gạch Đồng Tâm 40x40 483,Đồng Tâm,ceramic,40x40,Bán Sứ ,Trắng Viền Xanh ,Bóng Kiếng ,Lát nền ,85000,125000,gach-lat,
SP-010,Gạch Vitto 50x50 3773,Vitto,ceramic,50x50,Ceramic ,Xám ,sần ,Lát nền ,90000,135000,gach-lat,
Sp-011,Gạch Prime 40x40 2527,Prime,ceramic,40x40,Ceramic ,Xám Trắng,Nhám ,Lát nền ,135000,160000,gach-lat,
Sp-012 ,Gạch lát nền Prime 60×60 8265,Prime,ceramic,60x60,Granite,Đen viền nâu,nhám ,Lát nền,250000,280000,gach-lat,
Sp-013,Gạch ốp lát Prime 60×120 8307,Prime,ceramic,60x120,Porcelain,Vân đá,Nhẵn bóng ,Gạch ốp & lát,400000,440000,"gach-op, gach-lat",
Sp-014,Gạch Eurotile 30x60 VOC-G05,Eurotile,ceramic,30x60,Porcelain ,Nâu đỏ ,Bóng Kiếng ,Lát tường ,280000,320000,gach-lat,
Sp-015,Gạch Eurotile 45x90 NGC 101 ,Eurotile,ceramic,45x90,Porcelain,Trắng ,Bóng kính ,Lát bậc thềm ,400000,450000,gach-lat,
Sp-016,Gạch Viglacera 60x60 ECO S601,Viglacera,ceramic,60x60,Ceramic ,Hồng nhạt ,Bóng Kiếng ,Lát nền,209000,298000,gach-lat,
Sp-017,Gạch Viglacera 30x30 N3056,Viglacera,ceramic,30x30,Ceramic ,Đen sọc trắng,Nhẵn bóng ,Lát nền ,99000,110000,gach-lat,
Sp-018,Gạch Vitto 30×60  2503,Vitto,ceramic,30x60,Ceramic ,Hồng nhạt ,Bóng kiếng có hoa văn,Ốp tường,230000,260000,gach-op,
Sp-019,Gạch Taicera 30×30 G38522,Taicera,ceramic,30x30,Porcelain,"Xám, vàng",Nhám chống trơn,Lát nền,120000,160000,gach-lat,
Sp-020,Gạch Taicera 30×30 MS4747-318,Taicera,ceramic,30x30,Porcelain,Xám ,Nhám,Lát nền,480000,550000,gach-lat,
Sp-021,Gạch Đồng Tâm 40×40 475,Đồng Tâm,ceramic,40x40,Porcelain ,Trắng,Trắng viền xanh,Lát nền,300000,350000,gach-lat,
Sp-022,Gạch Đồng Tâm 80×80 YALY002,Đồng Tâm,ceramic,80x80,Granite,Đen,Hiệu ứng kim cương ,Lát nền ,326000,379000,gach-lat,
Sp-041,Gạch TTC 60×60 EX66318,TTC,ceramic,60x60,Porcelain ,Be,Nhẵn mịn ,Lát nền,170000,205000,gach-lat,
Sp-023,Gạch Viglacera 50×50 SA501G,Viglacera,ceramic,50x50,Ceramic ,Tổng hợp,Sugar(hạt đường),Lát nền ,85000,109000,gach-lat,
Sp-024,Gạch Vitto 50×50 3771 ,Vitto,ceramic,50x50,Ceramic ,xám ,sần ,Lát nền,90000,135000,gach-lat,
Sp-025,CATALAN 30X60 3105,Catalan,ceramic,30x60,Ceramic ,"Trắng, Xám",Nhám,Lát nền,185000,218000,gach-lat,
Sp-026,Gạch Viglacera 50×50 SH512,Viglacera,ceramic,50x50,Ceramic ,Tổng hợp,Nhám ,Lát nền ,50000,80000,gach-lat,
Sp-027,Gạch VID 40×40 MSQA4405,VID,ceramic,40x40,Porcelain,Xám ,Nhám,Lát nền,90000,140000,gach-lat,
Sp-028,Gạch VID 40×40 MQA417,VID,ceramic,40x40,Granite,Kem,Nhám,Lát nền,75000,130000,gach-lat,
Sp-029,Gạch Đồng Tâm 40×40 CLG003,Đồng Tâm,ceramic,40x40,Granite,Tổng hợp,Nhẵn mịn ,Lát nền,150000,186000,gach-lat,
Sp-030,Gạch Bông CTS- 2.11,CTS,ceramic,25x25,Xi măng,Xám,Nhẵn bóng ,Lát nền,350000,385000,gach-lat,
Sp-031,Gạch Viglacera 30×45 TPV4511,Viglacera,ceramic,30x45,Ceramic ,Trắng viền xanh,Nhẵn mịn ,Lát nền ,60000,100000,gach-lat,
Sp-032,Gạch Prime 15x60 9064,Prime,ceramic,15x60,Granite,Nâu,sần ,Lát nền,200000,243000,gach-lat,
Sp-033,Gạch Prime 80x80 8834,Prime,ceramic,80x80,Ceramic ,Nâu cam,Bóng kiếng,Lát nền ,315000,369000,gach-lat,
Sp-034,Gạch Viglacera 30x60 KT3601,Viglacera,ceramic,30x60,Ceramic ,Trắng,Bóng ,Lát nền ,90000,150000,gach-lat,
Sp-035,Gạch Viglacera 30x60 BS3604,Viglacera,ceramic,30x60,Ceramic ,Xám ,Nhám ,Lát nền ,220000,260000,gach-lat,
Sp-036,Gạch Vietceramics 60 Cama,Vietceramics,ceramic,50x50,Ceramic ,Đen,Bóng Kiếng ,Lát nền,800000,1265000,gach-lat,
Sp-037,Gạch Taicera 40x40 G49001,Taicera,ceramic,40x40,Porcelain ,Hồng nhạt ,Bóng kính ,Lát nền ,135000,179000,gach-lat,
Sp-038,Gạch Viglacera 50x50 H506,Viglacera,ceramic,50x50,Ceramic ,Nâu cam ,Bóng vân đá ,Lát nền ,65000,110000,gach-lat,
Sp-039,Gạch Vitto lát nền 80x80 815F4,Vitto,ceramic,80x80,Ceramic ,Trắng xám ,Sần ,Lát nền ,250000,309000,gach-lat,
Sp-040,Gạch Đồng Tâm 60x60 8080DB006,Đồng Tâm,ceramic,60x60,Granite,Hồng nhạt ,Bóng Kiếng ,Lát nền ,350000,396000,gach-lat,
Sp-042,Van giảm áp American Standard M19225,American Standard,TBVS,,Inox chống gỉ,,,,160000,180000,PKNT,
Sp-043,Thoát Sàn American Standard A-8201,American Standard,TBVS,,Mạ crom chống gỉ,,,,250000,285000,PKNT,
Sp-044,Bồn Cầu 2 Khối American Standard VF-2398,American Standard,TBVS,717 x 390 x 758,,Trắng,,,1500000,1800000,bon-cau,
Sp-045,BỒN CẦU 2 KHỐI AMERICAN STANDARD VF-2714S (Nắp Thông Minh),American Standard,TBVS,718 x 365 x 777,,Trắng,,,4800000,5250000,bon-cau,
Sp-046,Bồn Cầu 2 Khối American Standard VF-2397SL,American Standard,TBVS,717 x 390 x 758,,Trắng,,,2000000,2350000,bon-cau,
Sp-047,Bồn Cầu 1 Khối VIGLACERA BTE (Bệt Trẻ Em),Viglacera,TBVS,500 x 287 x 540mm,,Trắng,,,1000000,1350000,bon-cau,
Sp-048,Bồn Cầu 1 Khối VIGLACERA C0504,Viglacera,TBVS,715 x 386 x 692mm,,Trắng,,,1850000,2195000,bon-cau,
Sp-049,Bồn Cầu 1 Khối VIGLACERA V42 + Vòi Xịt VG826,Viglacera,TBVS,690 x 319 x 716mm,,Trắng,,,2500000,2980000,bon-cau,
Sp-050,Bồn CẦU 1 KHỐI TOTO MS905T2 (Nắp Đóng Êm TC393VS),toto,TBVS,,,Trắng,,,9200000,9870000,bon-cau,
Sp-051,Bồn Cầu 1 Khối INAX AC-900VRN,inax,TBVS,760 x 380 x 636mm,,Trắng,,,7900000,8390000,bon-cau,
Sp-052,Bồn Cầu 1 Khối VIGLACERA V199 + Vòi Xịt VG826,Viglacera,TBVS,680 x 360 x 745mm,,Trắng,,,6150000,6500000,bon-cau,
Sp-053,Bồn Cầu 2 Khối Toto CS300DRE2,toto,TBVS,693 x 451 x 763 mm,,Trắng,,,5850000,6120000,bon-cau,
Sp-054,Bồn Cầu 1 Khối INAX AC-969VN,inax,TBVS,653 x 394 x 727 mm,,Trắng,,,3950000,4335000,bon-cau,
Sp-055,Bồn CẦU 1 KHỐI TOTO MS889DT3 (Nắp Đóng Êm TC385VS),toto,TBVS,701 x 387 x 699,,Trắng,,,10250000,11210000,bon-cau,
Sp-056,Bồn Cầu 1 Khối INAX AC-1052VN,inax,TBVS,739 x 360 x 658 mm,,Trắng,,,11050000,11711000,bon-cau,
Sp-057,Bồn Cầu 1 Khối INAX AC-2700VN,inax,TBVS,810 x 424 x 642 mm,,Trắng,,,1600000,16910000,bon-cau,
Sp-058,Bồn Cầu 1 Khối INAX AC-1032VN,inax,TBVS,809 x 372 x 605 mm,,Trắng,,,8150000,8915000,bon-cau,
Sp-059,Bàn Cầu 1 Khối VIGLACERA V38,Viglacera,TBVS,700 x 380 x 715mm,,Trắng,,,2000000,2380000,bon-cau,
sp-060,Van Giảm Áp American Standard A-4400S,American Standard,TBVS,,Inox chống gỉ,,,,125000,160000,PKNT,
sp-061,Đĩa Đựng Xà Phòng American Standard VF-9401,American Standard,TBVS,,Nhựa cao cấp,,,,236000,290000,PKNT,
sp-062,Dây Sen Tắm American Standard A-960-987,American Standard,TBVS,,Dây sắt mạ Crôm,,,,258000,320000,PKNT,
sp-063,Vòi Rửa Nước Lạnh American Standard A-7400C,American Standard,TBVS,,Đồng mạ Crôm,,,,255000,330000,PKNT,
sp-064,Kệ đựng cốc American K-2801-44-N,American Standard,TBVS,,Inox,,,,395000,470000,PKNT,
sp-065,Ống Thải A-325PL (Hình chữ P),inax,TBVS,,Nhựa cao cấp,,,,89000,127000,PKNT,
sp-066,Khay Xà Phòng H-444V (Bộ H-AC400V6),inax,TBVS,,Nhựa cao cấp,,,,115000,155000,PKNT,
sp-067,Thanh Treo Khăn H-485V (Bộ H-AC480V6),inax,TBVS,,inox,,,,255000,310000,PKNT,
sp-068,Văn Vặn A-703-7 (Hình Chữ T),inax,TBVS,,inox,,,,288000,347000,PKNT,
sp-069,Gương Tráng Bạc KF-5070VAC (50 x 70cm),inax,TBVS,,,,,,680000,800000,PKNT,
sp-070,Vòi Xịt VG826 (VGXP6),Viglacera,TBVS,,Nhựa cao cấp,,,,180000,220000,PKNT,
sp-071,Bộ VG-92 (5 Món),Viglacera,TBVS,,,,,,885000,1050000,PKNT,
sp-072,Siphon Lật Viglacera VG814 (VGSP4),Viglacera,TBVS,,Đồng mạ crôm,,,,255000,310000,PKNT,
sp-073,Máy nước nóng Ariston AURES SM45PE SBS VN 4500W,Ariston,TBVS,,,,,,3200000,3750000,TBNL,
sp-074,Máy nước nóng Ferroli QQ Evo 15L ME 15 lít,Ferroli,TBVS,,,,,,1450000,1990000,TBNL,
sp-075,Máy nước nóng Panasonic DH-4RP1VW 4500W,Panasonic,TBVS,,,,,,4000000,4490000,TBNL,
sp-076,Máy nước nóng Centon GD600ESP FL EMC 4500 W,Centon,TBVS,,,,,,3050000,3590000,TBNL,
